Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,66,3,Some Random Commen with Id 0
1,0,1,143,8,Some Random Commen with Id 1
2,1,6,122,9,Some Random Commen with Id 2
3,1,6,120,3,Some Random Commen with Id 3
4,1,6,90,0,Some Random Commen with Id 4
5,1,6,72,2,Some Random Commen with Id 5
6,1,6,82,9,Some Random Commen with Id 6
7,1,6,79,2,Some Random Commen with Id 7
8,1,6,63,5,Some Random Commen with Id 8
9,1,6,170,1,Some Random Commen with Id 9
10,1,6,128,6,Some Random Commen with Id 10
11,2,5,116,1,Some Random Commen with Id 11
12,2,5,60,8,Some Random Commen with Id 12
13,2,5,173,0,Some Random Commen with Id 13
14,2,5,22,2,Some Random Commen with Id 14
15,2,5,2,1,Some Random Commen with Id 15
16,2,5,52,9,Some Random Commen with Id 16
17,2,5,66,4,Some Random Commen with Id 17
18,2,5,151,2,Some Random Commen with Id 18
19,2,5,20,8,Some Random Commen with Id 19
20,3,8,12,4,Some Random Commen with Id 20
21,3,8,165,2,Some Random Commen with Id 21
22,3,8,104,3,Some Random Commen with Id 22
23,3,8,161,8,Some Random Commen with Id 23
24,3,8,176,1,Some Random Commen with Id 24
25,3,8,142,5,Some Random Commen with Id 25
26,3,8,124,3,Some Random Commen with Id 26
27,3,8,31,6,Some Random Commen with Id 27
28,4,1,88,9,Some Random Commen with Id 28
29,5,1,190,5,Some Random Commen with Id 29
30,5,1,35,9,Some Random Commen with Id 30
31,5,1,148,9,Some Random Commen with Id 31
32,5,1,43,9,Some Random Commen with Id 32
33,5,1,88,5,Some Random Commen with Id 33
34,5,1,192,4,Some Random Commen with Id 34
35,7,7,159,5,Some Random Commen with Id 35
36,7,7,3,7,Some Random Commen with Id 36
37,7,7,156,6,Some Random Commen with Id 37
38,7,7,164,8,Some Random Commen with Id 38
39,7,7,115,9,Some Random Commen with Id 39
40,8,6,124,9,Some Random Commen with Id 40
41,8,6,146,1,Some Random Commen with Id 41
42,8,6,162,1,Some Random Commen with Id 42
43,8,6,145,5,Some Random Commen with Id 43
44,8,6,163,0,Some Random Commen with Id 44
45,10,8,58,6,Some Random Commen with Id 45
46,10,8,117,1,Some Random Commen with Id 46
47,10,8,169,9,Some Random Commen with Id 47
48,10,8,10,0,Some Random Commen with Id 48
49,11,6,182,4,Some Random Commen with Id 49
50,11,6,143,2,Some Random Commen with Id 50
51,11,6,84,7,Some Random Commen with Id 51
52,11,6,29,1,Some Random Commen with Id 52
53,11,6,85,4,Some Random Commen with Id 53
54,11,6,135,4,Some Random Commen with Id 54
55,11,6,92,0,Some Random Commen with Id 55
56,11,6,97,7,Some Random Commen with Id 56
57,11,6,33,1,Some Random Commen with Id 57
58,12,0,195,6,Some Random Commen with Id 58
59,12,0,143,5,Some Random Commen with Id 59
60,12,0,182,8,Some Random Commen with Id 60
61,12,0,131,8,Some Random Commen with Id 61
62,12,0,157,1,Some Random Commen with Id 62
63,12,0,148,8,Some Random Commen with Id 63
64,13,1,83,4,Some Random Commen with Id 64
65,13,1,7,1,Some Random Commen with Id 65
66,13,1,136,2,Some Random Commen with Id 66
67,13,1,183,1,Some Random Commen with Id 67
68,13,1,125,6,Some Random Commen with Id 68
69,13,1,184,5,Some Random Commen with Id 69
70,14,4,106,5,Some Random Commen with Id 70
71,14,4,61,5,Some Random Commen with Id 71
72,14,4,28,2,Some Random Commen with Id 72
73,14,4,89,5,Some Random Commen with Id 73
74,14,4,59,9,Some Random Commen with Id 74
75,14,4,166,6,Some Random Commen with Id 75
76,14,4,36,6,Some Random Commen with Id 76
77,15,3,184,8,Some Random Commen with Id 77
78,15,3,34,0,Some Random Commen with Id 78
79,15,3,198,6,Some Random Commen with Id 79
80,16,3,71,8,Some Random Commen with Id 80
81,16,3,40,5,Some Random Commen with Id 81
82,16,3,195,6,Some Random Commen with Id 82
83,16,3,20,1,Some Random Commen with Id 83
84,17,9,3,8,Some Random Commen with Id 84
85,17,9,67,3,Some Random Commen with Id 85
86,18,3,168,7,Some Random Commen with Id 86
87,18,3,161,1,Some Random Commen with Id 87
88,18,3,194,4,Some Random Commen with Id 88
89,18,3,25,6,Some Random Commen with Id 89
90,18,3,168,0,Some Random Commen with Id 90
91,18,3,89,8,Some Random Commen with Id 91
92,19,1,187,8,Some Random Commen with Id 92
93,21,7,95,1,Some Random Commen with Id 93
94,21,7,24,2,Some Random Commen with Id 94
95,21,7,162,8,Some Random Commen with Id 95
96,21,7,35,6,Some Random Commen with Id 96
97,21,7,29,7,Some Random Commen with Id 97
98,21,7,162,5,Some Random Commen with Id 98
99,21,7,63,3,Some Random Commen with Id 99
100,22,5,45,4,Some Random Commen with Id 100
101,22,5,0,0,Some Random Commen with Id 101
102,22,5,180,2,Some Random Commen with Id 102
103,22,5,28,2,Some Random Commen with Id 103
104,22,5,4,5,Some Random Commen with Id 104
105,22,5,123,5,Some Random Commen with Id 105
106,23,4,100,1,Some Random Commen with Id 106
107,23,4,73,6,Some Random Commen with Id 107
108,23,4,100,8,Some Random Commen with Id 108
109,23,4,98,3,Some Random Commen with Id 109
110,25,7,104,0,Some Random Commen with Id 110
111,26,9,19,3,Some Random Commen with Id 111
112,27,4,51,8,Some Random Commen with Id 112
113,27,4,177,6,Some Random Commen with Id 113
114,27,4,102,2,Some Random Commen with Id 114
115,27,4,35,9,Some Random Commen with Id 115
116,28,8,168,0,Some Random Commen with Id 116
117,28,8,37,7,Some Random Commen with Id 117
118,28,8,126,6,Some Random Commen with Id 118
119,29,0,45,5,Some Random Commen with Id 119
120,29,0,130,6,Some Random Commen with Id 120
121,29,0,123,4,Some Random Commen with Id 121
122,30,4,130,9,Some Random Commen with Id 122
123,30,4,82,6,Some Random Commen with Id 123
124,30,4,95,6,Some Random Commen with Id 124
125,30,4,141,8,Some Random Commen with Id 125
126,30,4,171,0,Some Random Commen with Id 126
127,31,4,134,1,Some Random Commen with Id 127
128,31,4,52,1,Some Random Commen with Id 128
129,31,4,199,0,Some Random Commen with Id 129
130,31,4,115,5,Some Random Commen with Id 130
131,31,4,136,8,Some Random Commen with Id 131
132,31,4,178,5,Some Random Commen with Id 132
133,31,4,94,1,Some Random Commen with Id 133
134,32,7,103,2,Some Random Commen with Id 134
135,32,7,106,0,Some Random Commen with Id 135
136,32,7,12,5,Some Random Commen with Id 136
137,32,7,184,8,Some Random Commen with Id 137
138,32,7,70,0,Some Random Commen with Id 138
139,32,7,115,0,Some Random Commen with Id 139
140,32,7,117,6,Some Random Commen with Id 140
141,32,7,139,6,Some Random Commen with Id 141
142,33,1,133,8,Some Random Commen with Id 142
143,33,1,118,7,Some Random Commen with Id 143
144,33,1,153,8,Some Random Commen with Id 144
145,33,1,189,8,Some Random Commen with Id 145
146,34,0,122,9,Some Random Commen with Id 146
147,34,0,87,1,Some Random Commen with Id 147
148,34,0,69,9,Some Random Commen with Id 148
149,35,2,26,7,Some Random Commen with Id 149
150,35,2,56,5,Some Random Commen with Id 150
151,35,2,25,5,Some Random Commen with Id 151
152,35,2,88,3,Some Random Commen with Id 152
153,35,2,179,5,Some Random Commen with Id 153
154,35,2,52,1,Some Random Commen with Id 154
155,36,4,174,0,Some Random Commen with Id 155
156,36,4,156,2,Some Random Commen with Id 156
157,36,4,69,4,Some Random Commen with Id 157
158,38,6,92,1,Some Random Commen with Id 158
159,38,6,180,1,Some Random Commen with Id 159
160,39,7,13,8,Some Random Commen with Id 160
161,39,7,160,2,Some Random Commen with Id 161
162,39,7,152,7,Some Random Commen with Id 162
163,39,7,20,0,Some Random Commen with Id 163
